anio,ene,feb,mar,abr,may,jun,jul,ago,set,oct,nov,dic
1981,-0.189511,-0.419023,-0.5807,0.704023,-1.077123,0.206332,-0.897998,-0.076967,-1.303289,-0.335464,0.450517,2.973655
1982,0.366461,-0.998485,-0.949074,1.00572,0.86214,0.092193,-0.540661,2.363691,1.470161,-1.174912,-0.688326,0.463853
1983,-0.637142,0.599422,1.319092,0.04742,-1.391455,-1.00614,0.061207,-0.116076,-0.707578,1.104513,2.094385,-0.277166
1984,-0.322397,1.012636,0.735406,-0.704979,1.183628,0.818866,0.273653,0.694736,-0.661238,0.344983,0.423683,-2.951266
1985,-0.458452,0.702446,0.454506,-0.356379,-0.686539,-0.214017,1.276163,-1.374061,-1.674454,-0.114607,0.29575,-0.926094
1986,0.295364,-0.999273,-0.333416,0.278711,-1.600546,-1.142185,0.015809,0.506463,0.632356,1.513576,-1.78748,1.3472
1987,-1.802756,0.53033,-1.324275,-0.794655,0.554083,-0.530521,-0.012422,0.263749,-0.256165,-2.566426,-1.712918,1.447421
1988,-0.786434,-0.688561,0.651781,-0.756992,-1.295168,-1.543168,2.246662,-0.604515,0.422149,-0.477521,-1.210099,2.346681
1989,-0.492969,1.256161,-1.179089,-1.018536,-1.437271,-0.882786,2.693597,0.336812,-0.795818,0.571043,-2.432693,-0.498899
1990,-1.87006,0.374228,-1.517099,-1.198068,0.112772,-0.540825,-0.434331,-0.062415,1.110557,0.446216,-0.319697,-0.24728
1991,1.178255,-0.465814,-0.363302,-0.09189,0.128788,-1.302732,1.225776,0.202258,0.583711,1.080248,-0.691055,0.687995
1992,-0.701932,1.456424,1.793377,0.134356,0.525854,-1.124124,0.295916,0.17938,1.236198,0.122915,-1.467173,-0.261892
1993,-1.869898,0.262912,0.001311,-0.375952,-0.101911,0.875515,1.093078,-0.031439,-1.267933,-0.087991,0.87896,-1.837222
1994,0.280954,0.976372,0.119901,-1.097384,0.830027,-1.723786,-0.067327,1.425397,0.423544,0.451077,0.401413,-0.059296
1995,-0.480058,0.502336,-0.020719,-0.055175,-0.150066,-0.102788,-0.512225,0.663557,-0.04861,0.596428,-0.698543,1.159777
1996,-0.731983,-1.785136,0.759565,-0.315429,-0.658025,-1.216604,-1.484974,-0.297766,0.296802,1.668085,-2.015153,-1.132233
1997,0.640518,1.110758,-0.24402,0.089213,0.326018,1.624586,-0.337643,-0.898755,1.985668,0.080685,0.022682,1.28873
1998,0.346896,-0.988597,0.088509,2.219109,0.054229,-0.389275,-1.908536,0.097179,0.736317,-0.929071,0.227359,-0.957171
1999,1.693392,0.77038,-1.87912,2.646575,1.121308,-0.463618,0.257387,0.973325,0.804293,-0.501633,-0.003461,-0.10456
2000,0.581188,0.705705,2.031952,0.95741,-1.227985,-1.251992,0.535861,1.704799,1.4192,0.03577,-0.078814,-1.098308
2001,-1.008283,-2.395,-1.708269,0.273091,0.540272,-0.284743,0.075287,0.696225,-0.576867,-0.610255,0.103066,0.06906
2002,-1.690159,-0.506819,-1.119065,-0.878029,0.432033,1.494731,-0.409178,-1.076818,-0.356836,-0.683006,0.54534,1.909048
2003,1.659008,-2.059384,0.427013,-0.243441,-0.660016,0.003635,0.585779,0.966186,0.475327,2.1238,-0.588646,0.058944
2004,0.273605,-1.220829,-0.485076,1.456737,-0.256927,0.072737,-0.90856,-0.614205,0.718288,0.931332,1.088807,0.514332
2005,0.125872,-0.506155,-0.113738,-1.18704,-0.184091,0.117564,-1.383215,-0.647611,0.846737,0.79291,-0.960751,-1.589625
2006,-0.171225,0.563436,0.623067,1.708513,-0.012384,-0.436241,-0.409163,0.303185,0.525951,-0.057428,0.129646,-0.315897
2007,-0.68368,-0.638477,0.732241,-0.895522,0.66373,0.311601,0.864561,-0.282704,-1.347309,0.611875,0.367393,-0.300936
2008,-0.275366,1.76825,-1.688107,-0.823184,-0.556607,1.379094,-0.614224,-0.631235,-1.486867,-1.743377,1.828998,0.362902
2009,0.589638,-1.009896,-0.083716,-0.565421,-0.122865,2.187161,-0.941697,1.609157,-0.762305,-0.26872,0.086011,-0.527979
2010,-0.04106,-0.232943,-1.001938,3.301203,1.898678,0.911341,0.639573,0.840309,-0.938279,1.822514,0.03329,-0.62971
2011,-0.750796,-0.941856,1.269861,-0.551106,-1.207698,-0.784152,-0.696934,1.505972,-0.059477,-0.493448,-1.69092,1.861273
2012,2.433341,1.269648,-0.078387,1.949848,-0.762588,-1.090345,1.144826,-0.484341,-0.41661,0.591577,-0.133466,0.556885
2013,0.492038,-0.668934,-0.55902,0.771938,-0.866522,1.383188,-0.150423,-0.342391,2.015417,-1.794957,-1.492263,0.638436
2014,0.516865,-0.274821,0.358223,0.704072,-0.061363,-1.115017,0.154417,-0.914684,1.083103,-0.121188,1.040561,-1.819103
2015,-0.483672,0.037084,-1.35443,-0.119786,0.255057,-0.249377,-0.286718,1.953711,-1.075343,0.318639,-0.348789,-0.025517
2016,-1.651989,0.056935,-1.409355,-1.304444,-0.043192,-0.939617,0.377889,0.859036,-1.123755,2.027775,-0.087455,-2.210734
