anio,ene,feb,mar,abr,may,jun,jul,ago,set,oct,nov,dic
1981,66.5061,66.1207,95.7432,32.346,6.3081,2.995,3.5352,3.0303,2.5687,7.5265,7.7167,17.0497
1982,95.4794,24.1432,64.0261,36.204,10.7158,4.98,3.5281,2.9777,4.5853,6.4748,17.4333,18.8052
1983,14.3658,37.3886,8.7381,7.643,5.0152,2.9687,2.0623,1.5003,1.5277,1.5613,1.335,2.6084
1984,55.2497,126.3172,61.32,32.032,9.1777,5.1247,3.5235,2.8403,2.6717,3.6568,7.718,23.6016
1985,96.1783,67.4696,60.2116,67.6467,25.6297,13.7693,5.7213,3.5161,6.6297,5.4994,9.626,20.7
1986,71.0,94.8357,105.7,47.716,24.6097,7.5373,4.8852,3.1539,4.2907,4.0939,6.67,31.6548
1987,70.5194,44.8029,20.5868,15.705,6.7035,3.9717,3.7013,1.8658,1.2673,1.3468,4.0333,5.6661
1988,54.221,39.1879,53.2097,66.32,17.371,5.742,3.5629,2.7813,2.3927,2.7361,1.428,2.669
1989,19.3242,31.5511,41.2248,21.309,8.0806,4.187,3.6603,2.1323,1.606,1.8458,2.584,2.6029
1990,17.9303,18.213,10.8355,7.363,4.0813,3.5067,2.6061,2.03,1.6023,2.2545,11.0887,17.2948
1991,20.4794,22.4525,26.1084,25.071,13.0058,7.3083,5.2368,4.0729,3.8513,3.8026,5.6707,8.7629
1992,47.2303,35.9866,30.2768,9.366,4.5019,3.402,2.4187,3.7219,1.6313,1.6774,2.4747,7.9765
1993,45.1684,31.6668,30.3119,25.846,11.3513,5.8663,3.8103,2.8226,3.055,5.0097,13.1,35.6826
1994,48.0616,86.6229,47.9603,59.5283,19.0084,7.922,5.9352,3.709,2.8483,3.7619,7.7503,21.9242
1995,40.4297,24.015,50.7761,17.218,6.5281,4.3087,3.399,2.9223,2.7713,2.789,4.043,4.1074
1996,21.561,33.5483,20.4029,16.72,5.7455,3.4597,2.4042,1.9094,1.718,1.9387,3.6843,12.5703
1997,56.6084,90.3143,96.9474,42.697,10.9723,5.938,3.621,3.7674,2.6273,4.1306,8.4973,4.7571
1998,8.5339,28.6818,30.969,22.814,5.21,2.9933,2.6439,2.1929,1.9657,3.9068,3.6143,9.6
1999,13.4,29.3,48.3,29.9,9.5,4.6,3.3,2.3,2.0,2.1,3.4,5.7
2000,26.7,51.4,35.4,10.5,4.0,2.9,3.0,2.5,2.5,4.9,4.1,6.2
2001,78.1,60.3,87.3,32.3,10.9,4.9,3.5,2.8,2.7,3.2,3.7,10.6
2002,22.3,65.6,52.9,33.1,9.6,4.7,3.9,3.2,2.1,3.0,7.8,9.4
2003,67.6,62.8,49.2,16.0,5.6,3.3,3.5,2.5,1.7,2.6,5.7,10.5
2004,85.6,41.3,22.2,11.0,4.0,3.0,2.3,1.8,2.2,2.0,2.4,3.6
2005,10.0,32.3,27.8,10.1,3.7,3.0,2.3,2.1,1.7,2.0,2.3,9.3
2006,51.8,41.9,19.5,28.2,8.7,5.0,3.1,2.6,1.5971,2.8258,8.0582,18.4367
2007,48.6481,22.2112,57.5656,37.1297,18.6372,9.1071,4.6754,3.3626,3.7619,3.133,5.2858,9.8056
2008,27.2,28.9397,30.0691,5.9284,1.4327,1.6688,1.8661,1.4268,1.3659,2.0695,2.1501,13.2055
2009,26.5147,23.5815,21.709,10.3269,4.4984,3.3709,2.7,1.7,1.7444,2.1,2.3,7.3536
2010,37.4025,35.2879,34.9,14.1,6.3,3.6,2.5,2.3,2.3,2.3,1.2,6.8
2011,13.9,77.4,85.4,18.5,9.9,4.8,3.5,3.0,2.77,9.75,4.08,10.18
2012,24.68,97.61,67.72,41.31,10.62,4.17,2.95,2.51,2.5,2.43,2.49,10.46
2013,49.39,77.2,51.7,20.7,9.4,4.4,3.7,2.8,2.44,3.05,3.81,8.05
2014,35.53,79.11,43.16,14.9,6.3,4.1,2.9,2.0,2.2,2.7,2.9,11.3
2015,33.6,35.1,24.0,17.2,6.3,4.2,2.9,2.3,2.1,2.5,2.7,14.73
