anio,ene,feb,mar,abr,may,jun,jul,ago,set,oct,nov,dic
1981,129.122208,20.353729,26.020502,6.17298,1.02995,0.208112,0.040955,2.324147,4.784457,14.644973,5.505245,32.521417
1982,79.759601,9.386297,27.646628,7.694901,0.389554,0.07426,0.202368,1.105467,9.87233,6.088082,16.88877,7.349951
1983,24.605757,10.333915,5.785604,6.18522,1.545271,0.351185,0.129092,0.294675,2.990159,2.714096,3.412879,13.84418
1984,103.940898,55.731136,36.959146,3.901612,1.919951,1.187275,0.400354,2.183078,0.510425,10.712219,26.603005,26.651093
1985,68.243393,17.793086,39.73203,21.657004,2.830163,1.443798,0.121207,0.509377,9.855366,4.027982,48.960813,56.708389
1986,40.880765,34.779032,39.412633,17.55299,1.46735,0.040563,0.524519,1.998945,9.078387,1.771756,5.536907,35.767337
1987,63.644315,6.322479,14.091925,3.507967,1.190525,0.606095,1.66804,0.876065,1.108343,4.529982,13.385144,9.103724
1988,50.179302,11.206087,94.672548,11.990118,3.143429,0.048179,0.019141,0.081833,1.1231,4.027249,1.245572,25.397747
1989,43.883639,16.071488,30.948622,7.550894,0.74569,1.127212,0.124281,2.028299,2.436962,2.779343,4.386223,8.501111
1990,38.480282,6.860236,8.944551,3.242094,1.223478,4.521465,0.094979,1.358116,3.061529,11.28319,12.587508,15.98298
1991,33.487658,19.302765,54.919701,4.333206,1.411726,3.558215,0.278253,0.347665,2.795756,2.113598,5.042274,20.440908
1992,42.203155,9.394188,7.112274,1.897412,0.185803,0.957488,0.441554,9.438864,1.812167,6.325076,5.844068,26.702647
1993,52.270536,7.110471,14.485534,11.31335,1.631014,0.483986,0.277601,1.533482,2.776313,5.658837,15.090899,36.527521
1994,42.136523,19.893171,27.742753,9.644215,1.891005,0.3423,0.01242,0.229113,1.671666,4.069926,5.94257,29.594662
1995,21.266132,22.788737,29.97792,1.570777,0.722628,0.057251,0.192872,0.119271,1.789373,2.152071,7.675761,21.157562
1996,43.878391,8.418057,20.758759,3.157608,1.694784,0.046664,0.429508,0.932597,2.080668,2.268928,11.259652,21.263903
1997,65.449209,19.077004,82.833941,6.517168,1.094574,0.078959,0.061638,2.171044,3.711796,3.439579,18.933586,10.139734
1998,26.177742,15.693318,23.290986,3.897628,0.137211,1.11503,0.028278,0.307236,0.545155,6.827676,11.832529,2.777402
1999,19.818179,7.977339,90.800704,5.600835,1.302455,0.253895,0.130723,0.121649,4.554497,6.797108,3.74245,6.659932
2000,38.174781,18.349719,25.047569,1.58166,1.095238,1.488176,0.204618,1.736392,1.438339,15.894204,1.855431,23.241355
2001,99.819248,17.54569,89.023331,3.543875,3.379503,0.447834,0.904356,1.525111,1.90952,9.093346,6.711304,18.484673
2002,17.918571,48.040009,47.939367,7.168513,1.8824,0.334363,2.284666,1.483653,4.15527,27.316262,12.21611,26.657177
2003,80.935477,22.546101,56.579953,5.852916,0.970555,1.176269,0.165723,1.492986,2.190867,5.02426,3.213855,26.046223
2004,98.930522,23.797079,10.452341,4.836023,1.301509,0.813255,0.745876,2.340596,3.211515,2.41231,6.804737,10.390814
2005,15.413013,42.875303,9.758792,2.73301,0.280546,0.080036,0.070808,0.713202,1.977689,9.900136,6.399643,20.939044
2006,92.069436,4.348101,8.425782,5.632324,0.304295,0.710247,0.039894,0.754332,2.911905,5.765131,7.487512,21.140258
2007,30.703309,8.830972,58.370544,9.675216,2.523652,0.112791,0.216123,0.167997,6.094391,2.421696,7.906156,14.472786
2008,44.264092,9.603871,12.077145,1.175629,1.194735,0.211675,0.036892,0.255016,1.387216,7.301475,4.400772,52.118965
2009,26.923861,12.134931,7.334603,2.048504,0.864218,0.074243,0.343814,0.147331,1.753709,2.851751,14.677197,26.382784
2010,68.774775,27.256748,15.03065,2.837915,2.007774,0.122942,0.182995,0.313823,0.179777,4.164152,1.343194,38.535085
2011,11.268928,42.38384,25.013423,2.902192,0.67055,0.170343,0.660595,0.730313,6.349926,5.914567,2.90506,33.142841
2012,29.739221,35.669273,27.966035,7.005384,0.703456,0.222543,0.188801,0.458464,1.706116,3.127461,3.937694,59.802747
2013,17.394958,51.82938,24.586204,2.870306,2.848733,0.796999,0.653923,1.376878,5.107146,17.322568,3.703089,44.862365
2014,42.482354,22.433277,19.826098,3.951291,1.460911,0.194783,0.670757,2.001981,9.463204,4.278514,2.455562,30.8443
2015,63.380368,22.898598,8.21426,10.373934,1.551544,0.449737,0.55847,1.487174,3.693984,3.844938,6.698499,20.939597
2016,12.969728,71.285223,2.722374,6.394951,0.512985,0.176847,1.32994,1.2337,5.651,5.640997,5.787884,19.916843
