anio,ene,feb,mar,abr,may,jun,jul,ago,set,oct,nov,dic
1981,221.8225,92.7894,102.8778,51.5383,8.8439,1.7364,0.4598,22.2872,43.4693,80.4025,47.9025,112.8476
1982,166.2291,65.0994,105.5038,58.6048,3.1844,0.7099,1.6917,9.5678,66.7758,51.0975,85.6297,57.1246
1983,100.5067,68.3043,49.4777,51.6014,13.9918,2.8727,1.1262,2.419,29.077,26.3428,32.9904,78.3906
1984,190.5204,141.4555,118.9882,37.0893,17.9607,10.3648,3.2727,20.7831,4.1863,69.5148,103.8301,103.9081
1985,154.653,87.5923,122.6184,95.2614,27.5084,12.943,1.066,4.1775,66.7185,38.0786,133.8414,142.5219
1986,124.0825,116.0273,122.2074,87.0784,13.1851,0.4568,4.3051,18.8081,63.9982,16.3774,48.0842,117.3821
1987,149.9037,52.3008,79.0224,33.8231,10.3968,5.001,15.2785,7.4048,9.5956,41.7505,77.1966,64.0901
1988,135.2442,71.0429,181.0468,73.3592,30.5356,0.5138,0.2971,0.767,9.7385,38.0729,10.9406,101.8446
1989,127.812,83.789,110.5554,57.9944,6.2246,9.7784,1.0895,19.1232,23.4789,27.0007,40.7388,61.843
1990,120.9972,54.9097,63.5095,31.4508,10.7216,41.6914,0.8665,12.0694,29.7617,71.2764,75.0436,83.5856
1991,114.2236,90.7153,140.5644,40.358,12.6146,34.2561,2.2883,2.8442,27.1652,20.0386,45.1243,92.9581
1992,125.7415,65.1272,56.0672,17.7192,1.5629,8.1601,3.6117,65.2842,16.8079,52.3138,49.797,103.9916
1993,137.6166,56.0591,80.0087,71.3674,14.8886,3.9645,2.2832,13.8693,26.9703,48.7747,81.4867,118.4099
1994,125.6586,91.8899,105.6559,65.998,17.6506,2.8009,0.2471,1.9007,15.3167,38.4008,50.3281,108.5258
1995,94.5309,97.3275,109.1059,14.2577,6.0196,0.5819,1.6178,1.0512,16.565,20.451,58.5242,94.3264
1996,127.8056,61.5224,93.569,30.6683,15.5609,0.5025,3.5122,7.9277,19.6853,21.6999,71.2052,94.5267
1997,151.7792,90.2595,169.2781,53.2686,9.4627,0.7453,0.6148,20.6543,35.5501,33.2259,89.968,67.6685
1998,103.1362,82.9139,98.2225,37.0576,1.1884,9.6603,0.3651,2.5193,4.4798,54.7572,72.9037,26.9813
1999,91.742,59.7725,177.1781,48.448,11.5083,2.0956,1.1387,1.0694,41.92,54.6135,35.8031,53.9611
2000,120.5973,88.7649,101.2564,14.3714,9.4691,13.3999,1.7092,16.0017,12.887,83.3807,17.27,98.1347
2001,186.2586,87.0627,175.4114,34.133,32.6939,3.6637,7.6656,13.7823,17.8489,64.0525,54.2069,89.0454
2002,87.8589,132.7708,132.6532,56.3203,17.5585,2.7369,21.8675,13.3532,39.0476,104.9783,74.0042,103.9179
2003,167.3962,96.8905,142.3821,49.8451,8.2826,10.2569,1.4076,13.4496,20.8664,45.0114,31.1908,102.9201
2004,185.3512,99.1116,68.6872,43.8071,11.4989,6.8317,6.2262,22.4617,31.1691,23.2196,54.6494,68.4887
2005,82.255,126.5746,66.3906,26.5342,2.3066,0.7535,0.6839,5.9361,18.5799,66.8696,52.6877,93.9126
2006,178.4422,40.4654,61.5524,48.6258,2.4958,5.91,0.4518,6.3017,28.3155,49.3652,57.7223,94.2937
2007,110.1917,63.0897,144.3194,66.1046,24.3856,1.0019,1.799,1.4251,51.1304,23.3184,59.4817,79.9771
2008,128.2751,65.8588,73.6087,10.2506,10.4382,1.7642,0.4294,2.1044,12.3648,56.9115,40.8426,137.4461
2009,104.349,73.7736,57.0573,19.3401,7.296,0.7097,2.8131,1.266,16.1856,27.7227,80.4817,103.4716
2010,155.1958,104.8832,81.3417,27.5854,18.9028,1.0792,1.5412,2.572,1.5162,39.1142,11.9185,121.0688
2011,71.2333,125.9661,101.1988,28.2202,5.5608,1.4433,5.4738,6.0877,52.4389,50.178,28.2484,113.7352
2012,108.7452,117.2486,106.0081,55.581,5.85,1.8492,1.5862,3.7519,15.6808,30.3857,37.3746,145.8529
2013,86.7374,137.1197,100.4734,27.9062,27.6927,6.6847,5.4155,12.2597,45.528,86.5804,35.4779,128.9995
2014,126.0884,96.6861,91.7577,37.4815,13.1189,1.6327,5.5626,18.8406,65.3695,39.9605,23.6742,110.401
2015,149.628,97.5244,60.7236,68.4341,14.0571,3.6795,4.593,13.3896,35.4023,36.6365,54.1458,93.9136
2016,76.0883,157.7463,26.4266,52.6643,4.2078,1.4936,11.7847,10.8228,48.7308,48.6746,49.4903,91.9365
