AÑO,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SET,OCT,NOV,DIC
1981,66.50612903,66.12071429,95.74322581,32.346,6.308064516,2.995,3.53516129,3.030322581,2.568666667,7.526451613,7.716666667,17.04967742
1982,95.47935484,24.14321429,64.02612903,36.204,10.71580645,4.98,3.528064516,2.977741935,4.585333333,6.47483871,17.43333333,18.80516129
1983,14.36580645,37.38857143,8.738064516,7.643,5.01516129,2.968666667,2.062258065,1.500322581,1.527666667,1.561290323,1.335,2.608387097
1984,55.24967742,126.3172414,61.32,32.032,9.177741935,5.124666667,3.523548387,2.840322581,2.671666667,3.656774194,7.718,23.6016129
1985,96.17833333,67.46964286,60.2116129,67.64666667,25.62967742,13.76933333,5.721290323,3.516129032,6.629666667,5.499354839,9.626,20.7
1986,71,94.83571429,105.7,47.716,24.60967742,7.537333333,4.88516129,3.153870968,4.290666667,4.093870968,6.67,31.65483871
1987,70.51935484,44.80285714,20.58677419,15.705,6.703548387,3.971666667,3.701290323,1.865806452,1.267333333,1.346774194,4.033333333,5.666129032
1988,54.22096774,39.18793103,53.20967742,66.32,17.37096774,5.742,3.562903226,2.781290323,2.392666667,2.736129032,1.428,2.669032258
1989,19.32419355,31.55107143,41.22483871,21.309,8.080645161,4.187,3.660322581,2.132258065,1.606,1.845806452,2.584,2.602903226
1990,17.93032258,18.21296296,10.83548387,7.363,4.081290323,3.506666667,2.606129032,2.03,1.602333333,2.254516129,11.08866667,17.29483871
1991,20.47935484,22.4525,26.1083871,25.071,13.00580645,7.308333333,5.236774194,4.072903226,3.851333333,3.802580645,5.670666667,8.762903226
1992,47.23032258,35.98655172,30.27677419,9.366,4.501935484,3.402,2.418709677,3.721935484,1.631333333,1.677419355,2.474666667,7.976451613
1993,45.1683871,31.66678571,30.31193548,25.846,11.35129032,5.866333333,3.810322581,2.822580645,3.055,5.009677419,13.1,35.68258065
1994,48.0616129,86.62285714,47.96032258,59.52833333,19.0083871,7.922,5.93516129,3.709032258,2.848333333,3.761935484,7.750333333,21.92419355
1995,40.42967742,24.015,50.77612903,17.218,6.528064516,4.308666667,3.399032258,2.922258065,2.771333333,2.789032258,4.043,4.107419355
1996,21.56096774,33.54827586,20.40290323,16.72,5.745483871,3.459666667,2.404193548,1.909354839,1.718,1.938709677,3.684333333,12.57032258
1997,56.6083871,90.31428571,96.94741935,42.697,10.97225806,5.938,3.620967742,3.767419355,2.627333333,4.130645161,8.497333333,4.757096774
1998,8.533870968,28.68178571,30.96903226,22.814,5.21,2.993333333,2.643870968,2.192903226,1.965666667,3.906774194,3.614333333,9.6
1999,13.4,29.3,48.3,29.9,9.5,4.6,3.3,2.3,2,2.1,3.4,5.7
2000,26.7,51.4,35.4,10.5,4,2.9,3,2.5,2.5,4.9,4.1,6.2
2001,78.1,60.3,87.3,32.3,10.9,4.9,3.5,2.8,2.7,3.2,3.7,10.6
2002,22.3,65.6,52.9,33.1,9.6,4.7,3.9,3.2,2.1,3,7.8,9.4
2003,67.6,62.8,49.2,16,5.6,3.3,3.5,2.5,1.7,2.6,5.7,10.5
2004,85.6,41.3,22.2,11,4,3,2.3,1.8,2.2,2,2.4,3.6
2005,10,32.3,27.8,10.1,3.7,3,2.3,2.1,1.7,2,2.3,9.3
2006,51.8,41.9,19.5,28.2,8.7,5,3.1,2.6,1.5971,2.8258,8.0582,18.4367
2007,48.6481,22.21122222,57.5656,37.1297,18.6372,9.1071,4.6754,3.3626,3.7619,3.133,5.2858,9.8056
2008,27.2,28.93966667,30.0691,5.9284,1.4327,1.6688,1.8661,1.4268,1.3659,2.0695,2.1501,13.2055
2009,26.51473758,23.58145763,21.70899684,10.3269,4.498383609,3.370902587,2.7,1.7,1.744360279,2.1,2.3,7.353625
2010,37.4025,35.28788889,34.9,14.1,6.3,3.6,2.5,2.3,2.3,2.3,1.2,6.8
2011,13.9,77.4,85.4,18.5,9.9,4.8,3.5,3,2.77,9.75,4.08,10.18
2012,24.68,97.61,67.72,41.31,10.62,4.17,2.95,2.51,2.5,2.43,2.49,10.46
2013,49.39,77.2,51.7,20.7,9.4,4.4,3.7,2.8,2.44,3.05,3.81,8.05
2014,35.53,79.11,43.16,14.9,6.3,4.1,2.9,2,2.2,2.7,2.9,11.3
2015,33.6,35.1,24,17.2,6.3,4.2,2.9,2.3,2.1,2.5,2.7,14.73
2016,26.13,65.08,46.4,12.88,4.44,3.2,2.79,2.35,2.07,3.31,2.81,5.95
