AÑO,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SET,OCT,NOV,DIC
1981,221.8224615,92.78940027,102.877785,51.53828452,8.843854286,1.736433452,0.459766091,22.28719582,43.46934731,80.40248404,47.90248082,112.8475585
1982,166.2290865,65.09936317,105.5037741,58.60476301,3.184401139,0.709881275,1.691669434,9.567835165,66.77584446,51.09745055,85.62971284,57.12460883
1983,100.5067397,68.30428368,49.47774984,51.60136103,13.99184809,2.872660394,1.126235163,2.418980568,29.07703481,26.34275541,32.99035764,78.39062376
1984,190.5204412,141.4555174,118.9881968,37.08928287,17.96066245,10.36484475,3.272687222,20.7830706,4.186298343,69.51480755,103.8300558,103.9080764
1985,154.6529561,87.59230431,122.6184244,95.26139498,27.50835132,12.94301106,1.066006456,4.177477749,66.71852939,38.07855714,133.8414489,142.5218827
1986,124.0824945,116.0272694,122.2073847,87.07839434,13.18513845,0.456830349,4.305110122,18.8080584,63.99823797,16.3774315,48.08418608,117.3820577
1987,149.9037111,52.30075871,79.02235667,33.8230884,10.39677676,5.000985504,15.27846639,7.404779702,9.595628879,41.75047103,77.19664882,64.09005858
1988,135.2441557,71.04286531,181.04677,73.35923794,30.53557689,0.513835877,0.297073371,0.767038656,9.738517615,38.07289788,10.94058657,101.8445584
1989,127.8119598,83.78901905,110.5554314,57.99435087,6.224553163,9.778409618,1.089468931,19.12317088,23.4789198,27.00073304,40.73884234,61.84302588
1990,120.9972177,54.90965471,63.50949182,31.45076131,10.72164075,41.69137717,0.866531772,12.06939514,29.76171937,71.27640567,75.04363987,83.58557582
1991,114.2235694,90.71530497,140.5644143,40.35796097,12.61464029,34.25613011,2.28834423,2.844207992,27.1651534,20.03860513,45.12434565,92.95808666
1992,125.7415471,65.1271714,56.067229,17.71919206,1.562931354,8.160078263,3.611714727,65.28422331,16.80793755,52.31384959,49.79701552,103.9916216
1993,137.6166351,56.05908522,80.00874279,71.36740373,14.88862512,3.964547385,2.283169024,13.86926105,26.97033278,48.77474875,81.48673413,118.4098908
1994,125.6585987,91.88986759,105.6559313,65.99800793,17.65058005,2.800902436,0.247128031,1.900663148,15.31671931,38.4008476,50.3280882,108.5258378
1995,94.53091352,97.32752774,109.1059342,14.25767272,6.019555839,0.581881702,1.61780113,1.051237045,16.56497114,20.45103575,58.52423478,94.32639778
1996,127.8055575,61.52241644,93.56895199,30.66825106,15.56091755,0.502488384,3.512228456,7.92770612,19.68530649,21.69994734,71.20524931,94.52672326
1997,151.7792244,90.2595333,169.2780781,53.26855387,9.46269659,0.745337036,0.614847373,20.65425356,35.55009837,33.22593612,89.96802577,67.66845714
1998,103.1361625,82.91387085,98.22252224,37.05764193,1.188369787,9.66032839,0.365106645,2.51926499,4.479818282,54.75723536,72.9037168,26.9812565
1999,91.7420344,59.7724696,177.1780585,48.44804608,11.50834726,2.095578092,1.138707031,1.069379903,41.91997282,54.61352324,35.80310113,53.96108257
2000,120.5972541,88.76491651,101.2564158,14.3713535,9.469104956,13.39991326,1.709197719,16.0016724,12.88700513,83.3806768,17.26995675,98.13465424
2001,186.2585872,87.06269053,175.4114041,34.13304016,32.6939198,3.663694664,7.665634887,13.78233246,17.84888606,64.05247748,54.20688206,89.04538529
2002,87.85891873,132.7708055,132.6532114,56.32033534,17.55845647,2.736927778,21.86754405,13.35321855,39.04755164,104.9783017,74.00416358,103.917941
2003,167.3961999,96.89045356,142.3821496,49.84506906,8.282584158,10.2568676,1.407594344,13.44961298,20.86640714,45.01136778,31.19075136,102.9201181
2004,185.3511824,99.11155321,68.68715334,43.80706436,11.49885711,6.83167642,6.226213525,22.46168061,31.16913052,23.21955135,54.64944894,68.48869316
2005,82.25502075,126.5745753,66.39063256,26.53419418,2.306557052,0.753464769,0.683854029,5.936091096,18.57992485,66.86961123,52.6876589,93.91258768
2006,178.4422179,40.46540843,61.55235326,48.62581143,2.495757699,5.909963845,0.4518291,6.301671149,28.31551162,49.36521918,57.72232326,94.29373491
2007,110.1917276,63.08968546,144.3193767,66.10463299,24.38559238,1.001858401,1.798978992,1.425147391,51.13040665,23.31838163,59.48173422,79.97711819
2008,128.2751297,65.8588098,73.60873669,10.25059356,10.4381657,1.764241078,0.429396705,2.10442049,12.36478891,56.91152948,40.84261927,137.4460903
2009,104.3489587,73.77360964,57.05728448,19.3400762,7.296041111,0.709747851,2.813113556,1.265998695,16.18555113,27.72265115,80.48166587,103.4716104
2010,155.1957789,104.8832197,81.34166556,27.58539469,18.90283325,1.079246245,1.541158204,2.571983157,1.516228849,39.11416291,11.91846595,121.0687845
2011,71.2333066,125.9661398,101.1987814,28.22021051,5.560792788,1.443267038,5.473752462,6.087737751,52.43888416,50.17797299,28.24837177,113.735203
2012,108.7451728,117.2485807,106.0081034,55.58102432,5.849994302,1.849188891,1.586193747,3.751875355,15.68080351,30.38570364,37.37457459,145.8528651
2013,86.73736739,137.1196571,100.473361,27.90620872,27.69274946,6.68471585,5.41553633,12.25968747,45.5280239,86.58040584,35.47791597,128.9995042
2014,126.0883878,96.68614671,91.75766405,37.48149736,13.11885176,1.632652566,5.562604259,18.84064603,65.3695211,39.96051477,23.67417828,110.4009736
2015,149.6280482,97.52440773,60.72363411,68.43407383,14.05714818,3.679464515,4.593019521,13.38957194,35.40228356,36.63652736,54.14578026,93.91363703
2016,76.08832264,157.7462707,26.42661888,52.66425872,4.207845048,1.493552494,11.78472792,10.82282916,48.73079695,48.67460991,49.49025869,91.93645116
